"conversation_key","year","month","day","hour","agent","channel","abandoned","sla"
"5b45878cd2e6a90010d55883","2018","7","11","4","5b445d1da16f58001071a8b2","SMS",,"true"
"5b45879bd2e6a90010d55886","2018","7","11","4","5b445daaa16f58001071a8c7","SMS",,"false"
"5b45879bd2e6a90010d55886","2018","7","11","4","5b445daaa16f58001071a8c7","SMS",,"true"
"5b45879cd2e6a90010d55889","2018","7","11","4","5b445daaa16f58001071a8c7","SMS",,"true"
"5b4587a0d2e6a90010d5588c","2018","7","11","4","5b445d1da16f58001071a8b2","SMS",,"false"
"5b4587a0d2e6a90010d5588c","2018","7","11","4","5b445d1da16f58001071a8b2","SMS",,"true"
"5b4588ccd2e6a90010d55891","2018","7","11","4","5b445daaa16f58001071a8c7","Email",,"true"
"5b4588ccd2e6a90010d55891","2018","7","11","4","5b445daaa16f58001071a8c7","Email",,"false"
"5b45879bd2e6a90010d55886","2018","7","11","5","5b445daaa16f58001071a8c7","SMS",,"false"
"5b45879bd2e6a90010d55886","2018","7","11","5","5b445daaa16f58001071a8c7","SMS",,"true"
"5b4588ccd2e6a90010d55891","2018","7","11","5","5b445daaa16f58001071a8c7","Email",,"true"
"5b4588ccd2e6a90010d55891","2018","7","11","5","5b445daaa16f58001071a8c7","Email",,"false"
"5b459333d2e6a90010d5589a","2018","7","11","5","5b4574b0d6c4af0010f9ad7d","SMS",,"true"
"5b459370d2e6a90010d5589c","2018","7","11","5","5b445d1da16f58001071a8b2","SMS",,"true"
"5b459370d2e6a90010d5589c","2018","7","11","5","5b445d1da16f58001071a8b2","SMS",,"false"
"5b4594a3d2e6a90010d558a2","2018","7","11","5","5b445d1da16f58001071a8b2","SMS",,"false"
"5b4594a3d2e6a90010d558a2","2018","7","11","5","5b445d1da16f58001071a8b2","SMS",,"true"
"5b4595fed2e6a90010d558a4","2018","7","11","6","5b4574b0d6c4af0010f9ad7d","SMS",,"false"
"5b4595fed2e6a90010d558a4","2018","7","11","6","5b4574b0d6c4af0010f9ad7d","SMS",,"true"
"5b459f14d2e6a90010d558a7","2018","7","11","6","5b445daaa16f58001071a8c7","Email",,"true"
"5b459f14d2e6a90010d558a7","2018","7","11","6","5b445daaa16f58001071a8c7","Email",,"false"
"5b459f4cd2e6a90010d558a9","2018","7","11","6","5b445d1da16f58001071a8b2","Email",,"false"
"5b459f4cd2e6a90010d558a9","2018","7","11","6","5b445d1da16f58001071a8b2","Email",,"true"
"5b45a413d2e6a90010d558ab","2018","7","11","6","5b445cffa16f58001071a8aa","SMS",,"false"
"5b45a413d2e6a90010d558ab","2018","7","11","6","5b445cffa16f58001071a8aa","SMS",,"true"
"5b459f14d2e6a90010d558a7","2018","7","11","7","5b445daaa16f58001071a8c7","Email",,"false"
"5b459f14d2e6a90010d558a7","2018","7","11","7","5b445daaa16f58001071a8c7","Email",,"true"
"5b45af28d2e6a90010d558b5","2018","7","11","7","5b4574b0d6c4af0010f9ad7d","SMS",,"false"
"5b45af28d2e6a90010d558b5","2018","7","11","7","5b445daaa16f58001071a8c7","SMS",,"false"
"5b45af28d2e6a90010d558b5","2018","7","11","7","5b445daaa16f58001071a8c7","SMS",,"true"
"5b45af28d2e6a90010d558b5","2018","7","11","7","5b4574b0d6c4af0010f9ad7d","SMS",,"true"
"5b45af2cd2e6a90010d558b7","2018","7","11","7","5b445daaa16f58001071a8c7","SMS",,"true"
